space_name,die_roll,visit_type,1,2,3,4,5,6,button_label,roll_group
REG-DOB-FEE-REVIEW,Time outcomes,First,,,,,,,See how long the counter takes
REG-DOB-FEE-REVIEW,Time outcomes,Subsequent,0%,0%,0%,1%,1%,1%,See how long the counter takes
REG-DOB-FINAL-REVIEW,Next Step,First,FINISH,FINISH,FINISH,FINISH,CON-INSPECT,REG-FDNY-FEE-REVIEW,
REG-DOB-FINAL-REVIEW,Next Step,Subsequent,FINISH,FINISH,FINISH,FINISH,FINISH,CON-INSPECT,
REG-DOB-FINAL-REVIEW,Time outcomes,First,1 day,1 day,10 days,30 days,1 day,1 day,See how long final review takes
REG-DOB-FINAL-REVIEW,Time outcomes,Subsequent,1 day,1 day,1 day,10 days,30 days,1 day,See how long final review takes
REG-DOB-PLAN-EXAM,Time outcomes,First,REG-FDNY-FEE-REVIEW,REG-DOB-PLAN-EXAM,ARCH-INITIATION,ARCH-INITIATION,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,See how long the check takes
REG-DOB-PLAN-EXAM,Time outcomes,Subsequent,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-DOB-PLAN-EXAM,ARCH-INITIATION,REG-FDNY-FEE-REVIEW,See how long the second read takes
REG-DOB-PROF-CERT,Time outcomes,First,REG-DOB-AUDIT,REG-DOB-AUDIT,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,See how long filing takes
REG-DOB-PROF-CERT,Time outcomes,Subsequent,REG-DOB-AUDIT,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,REG-FDNY-FEE-REVIEW,See how long filing takes
REG-FDNY-PLAN-EXAM,Time outcomes,First,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,REG-FDNY-PLAN-EXAM,REG-FDNY-PLAN-EXAM,ENG-INITIATION,ARCH-INITIATION,See how long fire review takes
REG-FDNY-PLAN-EXAM,Time outcomes,Subsequent,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,CON-INITIATION or REG-DOB-PLAN-EXAM or REG-DOB-AUDIT or PM-DECISION-CHECK,REG-FDNY-PLAN-EXAM,REG-FDNY-PLAN-EXAM,ENG-INITIATION,See if you get the stamp
