space_name,visit_type,effect_type,effect_action,effect_value,condition,description,trigger_type,fee_type,narrative,modal_title,modal_description,modal_button_label,modal_summary,button_label
START-QUICK-PLAY-GUIDE,Subsequent,cards,draw_E,so don't forget to use your Expeditor help. Investor offers large loans at higher rates but takes longer.,,Bring in extra help,manual,,,,,,,Bring in extra help
START-QUICK-PLAY-GUIDE,Subsequent,fee,deduct,Pay attention to fees - they accumulate quickly,,Pay Pay attention to fees - they accumulate quickly fees,auto,FIXED,,,,,,
OWNER-SCOPE-INITIATION,First,cards,draw_E,3,,Bring in extra help,manual,,I'm handing you a stack of contacts — expeditors I've worked with before. Take all three; you'll need every one of them before this project is done.,,,,,Bring in extra help
OWNER-SCOPE-INITIATION,First,dice,dice_outcome,W Cards,,See what he wants built,manual,,,,,,,See what he wants built
OWNER-SCOPE-INITIATION,First,time,add,1,,Spend 1 day,auto,,,,,,,
OWNER-FUND-INITIATION,First,time,add,1,,Spend 1 day,auto,,,,,,,
PM-DECISION-CHECK,First,cards,draw_L,1,dice_roll_1,Draw 1 if you roll a 1 L cards,auto,,,,,,,
PM-DECISION-CHECK,First,cards,replace_e,1,,Swap one helper for another,manual,,,,,,,Swap one helper for another
PM-DECISION-CHECK,First,time,add,5,,Spend 5 days,auto,,,,,,,
PM-DECISION-CHECK,Subsequent,cards,draw_L,1,dice_roll_2,Draw 1 if you roll a 2 L cards,auto,,,,,,,
PM-DECISION-CHECK,Subsequent,cards,draw_E,The person to your right takes a card.,,Pass help to your right,manual,,,,,,,Pass help to your right
PM-DECISION-CHECK,Subsequent,time,add,5,,Spend 5 days,auto,,,,,,,
LEND-SCOPE-CHECK,First,cards,draw_L,1,dice_roll_3,Draw 1 if you roll a 3 L cards,auto,,,,,,,
LEND-SCOPE-CHECK,First,cards,draw_E,1,,Bring in extra help,manual,,,,,,,Bring in extra help
LEND-SCOPE-CHECK,First,dice,dice_outcome,W Cards,,See what the plan covers,manual,,,,,,,See what the plan covers
LEND-SCOPE-CHECK,First,time,add,5,,Spend 5 days,auto,,,,,,,
LEND-SCOPE-CHECK,Subsequent,cards,draw_L,1,dice_roll_4,Draw 1 if you roll a 4 L cards,auto,,,,,,,
LEND-SCOPE-CHECK,Subsequent,cards,return_e,1,,Let one helper go,manual,,,,,,,Let one helper go
LEND-SCOPE-CHECK,Subsequent,dice,dice_outcome,W Cards,,See what he'll cover now,manual,,,,,,,See what he'll cover now
LEND-SCOPE-CHECK,Subsequent,time,add,5,,Spend 5 days,auto,,,,,,,
BANK-FUND-REVIEW,First,cards,draw_B,1,,See the bank's terms,manual,,,,,Accept Bank Loan,,See the bank's terms
BANK-FUND-REVIEW,First,cards,draw_E,2,,Bring in extra help,manual,,,,,,,Bring in extra help
BANK-FUND-REVIEW,First,time,add,1,,Spend 1 day per $200K,auto,,,,,,,
BANK-FUND-REVIEW,First,fee,deduct,1% for loan of up to $1.4M or 2% for loan between $1.5M and 2.75M or 3% above 2.75M,,Pay 1% for loan of up to $1.4M or 2% for loan between $1.5M and 2.75M or 3% above 2.75M fees,auto,LOAN_TIERED,,,,,,
BANK-FUND-REVIEW,Subsequent,cards,draw_B,1,,See the new terms,manual,,,,,Accept Bank Loan,,See the new terms
BANK-FUND-REVIEW,Subsequent,cards,return_e,1,,Let one helper go,manual,,,,,,,Let one helper go
BANK-FUND-REVIEW,Subsequent,time,add,1,,Spend 1 day per $200K,auto,,,,,,,
BANK-FUND-REVIEW,Subsequent,fee,deduct,1% for loan of up to $1.4M or 2% for loan between $1.5M and 2.75M or 3% above 2.75M,,Pay 1% for loan of up to $1.4M or 2% for loan between $1.5M and 2.75M or 3% above 2.75M fees,auto,LOAN_TIERED,,,,,,
INVESTOR-FUND-REVIEW,First,cards,draw_L,1,dice_roll_5,Draw 1 if you roll a 5 L cards,auto,,,,,,,
INVESTOR-FUND-REVIEW,First,cards,replace_e,1,,Swap one helper for another,manual,,,,,,,Swap one helper for another
INVESTOR-FUND-REVIEW,First,dice,dice_outcome,I Cards,,See what they'll put in,manual,,,,,,,See what they'll put in
INVESTOR-FUND-REVIEW,First,dice,dice_outcome,Time outcomes,,See how long they take,manual,,,,,,,See how long they take
INVESTOR-FUND-REVIEW,First,fee,deduct,5% of amount borrowed,,Pay 5% of amount borrowed fees,auto,LOAN_PERCENTAGE,,,,,,
INVESTOR-FUND-REVIEW,Subsequent,cards,draw_L,1,dice_roll_6,Draw 1 if you roll a 6 L cards,auto,,,,,,,
INVESTOR-FUND-REVIEW,Subsequent,cards,draw_E,The person to your left takes a card.,,Pass help to your left,manual,,,,,,,Pass help to your left
INVESTOR-FUND-REVIEW,Subsequent,dice,dice_outcome,I Cards,,See what's left on the table,manual,,,,,,,See what's left on the table
INVESTOR-FUND-REVIEW,Subsequent,dice,dice_outcome,Time outcomes,,See how long they take,manual,,,,,,,See how long they take
INVESTOR-FUND-REVIEW,Subsequent,fee,deduct,5% of amount borrowed,,Pay 5% of amount borrowed fees,auto,LOAN_PERCENTAGE,,,,,,
ARCH-INITIATION,First,cards,draw_L,1,dice_roll_1,Draw 1 if you roll a 1 L cards,auto,,,,,,,
ARCH-INITIATION,First,time,add,5,,Spend 5 days,auto,,,,,,,
ARCH-INITIATION,Subsequent,cards,draw_L,1,dice_roll_2,Draw 1 if you roll a 2 L cards,auto,,,,,,,
ARCH-INITIATION,Subsequent,time,add,5,,Spend 5 days,auto,,,,,,,
ARCH-FEE-REVIEW,First,cards,draw_L,1,dice_roll_3,Draw 1 if you roll a 3 L cards,auto,,You've been on this job a while — sometimes things just happen. Keep your head down and hope today isn't one of those days.,,,,,
ARCH-FEE-REVIEW,First,cards,return_e,1,,Let one helper go,manual,,"You're cutting staff to save budget. One of your expeditors has to go — pick carefully, they're hard to replace.",,,,,Let one helper go
ARCH-FEE-REVIEW,First,dice,dice_outcome,Fees Paid,,See what he's asking,manual,,,,,,,See what he's asking
ARCH-FEE-REVIEW,First,time,add,50,,Spend 50 days,auto,,,,,,,
ARCH-FEE-REVIEW,Subsequent,cards,draw_L,1,dice_roll_4,Draw 1 if you roll a 4 L cards,auto,,"Back again, and life doesn't stop throwing curveballs. Roll the dice and see what lands.",,,,,
ARCH-FEE-REVIEW,Subsequent,cards,draw_E,1,,Bring in more help,manual,,Your architect friend recommends someone new. Add them to your roster — you'll need the help later.,,,,,Bring in more help
ARCH-FEE-REVIEW,Subsequent,dice,dice_outcome,Fees Paid,,See what the extra costs,manual,,,,,,,See what the extra costs
ARCH-FEE-REVIEW,Subsequent,time,add,15,,Spend 15 days,auto,,,,,,,
ARCH-SCOPE-CHECK,First,cards,draw_L,1,dice_roll_5,Draw 1 if you roll a 5 L cards,auto,,,,,,,
ARCH-SCOPE-CHECK,First,cards,replace_e,1,,Swap one helper for another,manual,,,,,,,Swap one helper for another
ARCH-SCOPE-CHECK,First,dice,dice_outcome,W Cards,,See what the design adds,manual,,,,,,,See what the design adds
ARCH-SCOPE-CHECK,First,time,add,50,,Spend 50 days,auto,,,,,,,
ARCH-SCOPE-CHECK,Subsequent,cards,draw_L,1,dice_roll_6,Draw 1 if you roll a 6 L cards,auto,,,,,,,
ARCH-SCOPE-CHECK,Subsequent,cards,draw_E,The person to your right takes a card.,,Pass help to your right,manual,,,,,,,Pass help to your right
ARCH-SCOPE-CHECK,Subsequent,dice,dice_outcome,W Cards,,See what changed,manual,,,,,,,See what changed
ARCH-SCOPE-CHECK,Subsequent,time,add,15,,Spend 15 days,auto,,,,,,,
ENG-INITIATION,First,cards,draw_L,1,dice_roll_1,Draw 1 if you roll a 1 L cards,auto,,,,,,,
ENG-INITIATION,First,time,add,5,,Spend 5 days,auto,,,,,,,
ENG-INITIATION,Subsequent,cards,draw_L,1,dice_roll_2,Draw 1 if you roll a 2 L cards,auto,,,,,,,
ENG-INITIATION,Subsequent,time,add,5,,Spend 5 days,auto,,,,,,,
ENG-FEE-REVIEW,First,cards,draw_L,1,dice_roll_3,Draw 1 if you roll a 3 L cards,auto,,,,,,,
ENG-FEE-REVIEW,First,dice,dice_outcome,Fees Paid,,See what the fee is,manual,,,,,,,See what the fee is
ENG-FEE-REVIEW,First,time,add,50,,Spend 50 days,auto,,,,,,,
ENG-FEE-REVIEW,Subsequent,cards,draw_L,1,dice_roll_4,Draw 1 if you roll a 4 L cards,auto,,,,,,,
ENG-FEE-REVIEW,Subsequent,dice,dice_outcome,Fees Paid,,See what the extra costs,manual,,,,,,,See what the extra costs
ENG-FEE-REVIEW,Subsequent,time,add,15,,Spend 15 days,auto,,,,,,,
ENG-SCOPE-CHECK,First,cards,draw_L,1,dice_roll_5,Draw 1 if you roll a 5 L cards,auto,,,,,,,
ENG-SCOPE-CHECK,First,dice,dice_outcome,W Cards,,See what the design adds,manual,,,,,,,See what the design adds
ENG-SCOPE-CHECK,First,time,add,50,,Spend 50 days,auto,,,,,,,
ENG-SCOPE-CHECK,Subsequent,cards,draw_L,1,dice_roll_6,Draw 1 if you roll a 6 L cards,auto,,,,,,,
ENG-SCOPE-CHECK,Subsequent,dice,dice_outcome,W Cards,,See what changed,manual,,,,,,,See what changed
ENG-SCOPE-CHECK,Subsequent,time,add,15,,Spend 15 days,auto,,,,,,,
OWNER-DECISION-REVIEW,First,cards,draw_L,1,dice_roll_1,Draw 1 if you roll a 1 L cards,auto,,,,,,,
OWNER-DECISION-REVIEW,First,dice,dice_outcome,W Cards,,See what the owner wants,manual,,,,,,,See what the owner wants
OWNER-DECISION-REVIEW,First,dice,dice_outcome,E cards,,See who he sends you,manual,,,,,,,See who he sends you
OWNER-DECISION-REVIEW,First,time,add,10,,Spend 10 days,auto,,,,,,,
OWNER-DECISION-REVIEW,Subsequent,cards,draw_L,1,dice_roll_2,Draw 1 if you roll a 2 L cards,auto,,,,,,,
OWNER-DECISION-REVIEW,Subsequent,dice,dice_outcome,W Cards,,See the owner's call,manual,,,,,,,See the owner's call
OWNER-DECISION-REVIEW,Subsequent,dice,dice_outcome,E cards,,See who he sends you,manual,,,,,,,See who he sends you
OWNER-DECISION-REVIEW,Subsequent,time,add,5,,Spend 5 days,auto,,,,,,,
CHEAT-BYPASS,First,cards,draw_L,1,dice_roll_3,Draw 1 if you roll a 3 L cards,auto,,,,,,,
CHEAT-BYPASS,First,cards,return_e,1,,Let one helper go,manual,,,,,,,Let one helper go
CHEAT-BYPASS,First,dice,dice_outcome,Time outcomes,,See if it costs you time,manual,,,,,,,See if it costs you time
CHEAT-BYPASS,First,dice,dice_outcome,Fees Paid,,See what the fine is,manual,,,,,,,See what the fine is
CHEAT-BYPASS,Subsequent,cards,draw_L,1,dice_roll_4,Draw 1 if you roll a 4 L cards,auto,,,,,,,
CHEAT-BYPASS,Subsequent,cards,return_e,1,,Let one helper go,manual,,,,,,,Let one helper go
CHEAT-BYPASS,Subsequent,dice,dice_outcome,Time outcomes,,See how long it sets you back,manual,,,,,,,See how long it sets you back
CHEAT-BYPASS,Subsequent,dice,dice_outcome,Fees Paid,,See what it costs you,manual,,,,,,,See what it costs you
REG-DOB-FEE-REVIEW,First,cards,draw_L,1,dice_roll_5,Draw 1 if you roll a 5 L cards,auto,,,,,,,
REG-DOB-FEE-REVIEW,First,cards,draw_E,2,,Bring in extra help,manual,,,,,,,Bring in extra help
REG-DOB-FEE-REVIEW,First,dice,dice_outcome,Time outcomes,,See how long the counter takes,manual,,,,,,,See how long the counter takes
REG-DOB-FEE-REVIEW,First,time,add,10,,Spend 10 days,auto,,,,,,,
REG-DOB-FEE-REVIEW,First,fee,deduct,1%,,Pay 1% fees,auto,LOAN_PERCENTAGE,,,,,,
REG-DOB-FEE-REVIEW,Subsequent,cards,draw_L,1,dice_roll_6,Draw 1 if you roll a 6 L cards,auto,,,,,,,
REG-DOB-FEE-REVIEW,Subsequent,cards,replace_e,1,,Swap one helper for another,manual,,,,,,,Swap one helper for another
REG-DOB-FEE-REVIEW,Subsequent,dice,dice_outcome,Time outcomes,,See how long the counter takes,manual,,,,,,,See how long the counter takes
REG-DOB-FEE-REVIEW,Subsequent,time,add,10,,Spend 10 days,auto,,,,,,,
REG-DOB-FEE-REVIEW,Subsequent,fee,deduct,Based on dice roll,,Pay Based on dice roll fees,auto,DICE_BASED,,,,,,
REG-DOB-TYPE-SELECT,First,cards,draw_L,1,dice_roll_1,Draw 1 if you roll a 1 L cards,auto,,,,,,,
REG-DOB-TYPE-SELECT,First,time,add,10,,Spend 10 days,auto,,,,,,,
REG-DOB-TYPE-SELECT,Subsequent,cards,draw_L,1,dice_roll_2,Draw 1 if you roll a 2 L cards,auto,,,,,,,
REG-DOB-TYPE-SELECT,Subsequent,time,add,10,,Spend 10 days,auto,,,,,,,
REG-DOB-PLAN-EXAM,First,cards,draw_L,1,dice_roll_3,Draw 1 if you roll a 3 L cards,auto,,,,,,,
REG-DOB-PLAN-EXAM,First,dice,dice_outcome,Time outcomes,,See how long the check takes,manual,,,,,,,See how long the check takes
REG-DOB-PLAN-EXAM,First,time,add,10,,Spend 10 days,auto,,,,,,,
REG-DOB-PLAN-EXAM,Subsequent,cards,draw_L,1,dice_roll_4,Draw 1 if you roll a 4 L cards,auto,,,,,,,
REG-DOB-PLAN-EXAM,Subsequent,dice,dice_outcome,Time outcomes,,See how long the second read takes,manual,,,,,,,See how long the second read takes
REG-DOB-PLAN-EXAM,Subsequent,time,add,10,,Spend 10 days,auto,,,,,,,
REG-DOB-PROF-CERT,First,dice,dice_outcome,Time outcomes,,See how long filing takes,manual,,,,,,,See how long filing takes
REG-DOB-PROF-CERT,First,time,add,1,,Spend 1 day,auto,,,,,,,
REG-DOB-PROF-CERT,Subsequent,dice,dice_outcome,Time outcomes,,See how long filing takes,manual,,,,,,,See how long filing takes
REG-DOB-PROF-CERT,Subsequent,time,add,1,,Spend 1 day,auto,,,,,,,
REG-DOB-AUDIT,First,cards,draw_L,1,dice_roll_5,Draw 1 if you roll a 5 L cards,auto,,,,,,,
REG-DOB-AUDIT,First,dice,dice_outcome,Time outcomes,,See how long the audit takes,manual,,,,,,,See how long the audit takes
REG-DOB-AUDIT,First,time,add,10,,Spend 10 days,auto,,,,,,,
REG-DOB-AUDIT,Subsequent,cards,draw_L,1,dice_roll_6,Draw 1 if you roll a 6 L cards,auto,,,,,,,
REG-DOB-AUDIT,Subsequent,dice,dice_outcome,Time outcomes,,See how long it takes to close,manual,,,,,,,See how long it takes to close
REG-DOB-AUDIT,Subsequent,time,add,10,,Spend 10 days,auto,,,,,,,
REG-FDNY-FEE-REVIEW,First,time,add,1,,Spend 1 day,auto,,,,,,,
REG-FDNY-FEE-REVIEW,First,fee,deduct,1%,,Pay 1% fees,auto,LOAN_PERCENTAGE,,,,,,
REG-FDNY-FEE-REVIEW,Subsequent,time,add,1,,Spend 1 day,auto,,,,,,,
REG-FDNY-PLAN-EXAM,First,cards,draw_L,1,dice_roll_1,Draw 1 if you roll a 1 L cards,auto,,,,,,,
REG-FDNY-PLAN-EXAM,First,dice,dice_outcome,Time outcomes,,See how long fire review takes,manual,,,,,,,See how long fire review takes
REG-FDNY-PLAN-EXAM,First,time,add,10,,Spend 10 days,auto,,,,,,,
REG-FDNY-PLAN-EXAM,Subsequent,cards,draw_L,1,dice_roll_2,Draw 1 if you roll a 2 L cards,auto,,,,,,,
REG-FDNY-PLAN-EXAM,Subsequent,dice,dice_outcome,Time outcomes,,See if you get the stamp,manual,,,,,,,See if you get the stamp
REG-FDNY-PLAN-EXAM,Subsequent,time,add,5,,Spend 5 days,auto,,,,,,,
CON-INITIATION,First,cards,draw_L,1,dice_roll_3,Draw 1 if you roll a 3 L cards,auto,,,,,,,
CON-INITIATION,First,cards,draw_E,3,,Bring in extra help,manual,,,,,,,Bring in extra help
CON-INITIATION,First,dice,dice_outcome,Quality,,See how good his work is,manual,,,,,,,See how good his work is
CON-INITIATION,First,dice,dice_outcome,Multiplier,,See what it adds up to,manual,,,,,,,See what it adds up to
CON-INITIATION,Subsequent,cards,draw_L,1,dice_roll_4,Draw 1 if you roll a 4 L cards,auto,,,,,,,
CON-INITIATION,Subsequent,cards,draw_E,1,,Bring in more help,manual,,,,,,,Bring in more help
CON-INITIATION,Subsequent,dice,dice_outcome,Time outcomes,,See how long the change takes,manual,,,,,,,See how long the change takes
CON-INITIATION,Subsequent,dice,dice_outcome,Fee Paid,,See what the change costs,manual,,,,,,,See what the change costs
CON-ISSUES,First,cards,draw_L,1,dice_roll_5,Draw 1 if you roll a 5 L cards,auto,,,,,,,
CON-ISSUES,First,cards,replace_e,1,,Swap in the right specialist,manual,,,,,,,Swap in the right specialist
CON-ISSUES,First,dice,dice_outcome,Time outcomes,,See how long you're stopped,manual,,,,,,,See how long you're stopped
CON-ISSUES,Subsequent,cards,draw_L,1,dice_roll_6,Draw 1 if you roll a 6 L cards,auto,,,,,,,
CON-ISSUES,Subsequent,cards,draw_E,The person to your right takes a card.,,Pass help to your right,manual,,,,,,,Pass help to your right
CON-ISSUES,Subsequent,dice,dice_outcome,Time outcomes,,See how long it slows you,manual,,,,,,,See how long it slows you
CON-INSPECT,First,cards,draw_L,1,dice_roll_1,Draw 1 if you roll a 1 L cards,auto,,,,,,,
CON-INSPECT,First,cards,return_e,1,,Let one helper go,manual,,,,,,,Let one helper go
CON-INSPECT,First,dice,dice_outcome,Time outcomes,,See how long the inspection takes,manual,,,,,,,See how long the inspection takes
CON-INSPECT,Subsequent,cards,draw_L,1,dice_roll_2,Draw 1 if you roll a 2 L cards,auto,,,,,,,
CON-INSPECT,Subsequent,cards,draw_E,2,,Bring in extra hands,manual,,,,,,,Bring in extra hands
CON-INSPECT,Subsequent,dice,dice_outcome,Time outcomes,,See how long the walk takes,manual,,,,,,,See how long the walk takes
REG-DOB-FINAL-REVIEW,First,cards,draw_L,1,dice_roll_3,Draw 1 if you roll a 3 L cards,auto,,,,,,,
REG-DOB-FINAL-REVIEW,First,cards,draw_E,3,,Bring in extra help,manual,,,,,,,Bring in extra help
REG-DOB-FINAL-REVIEW,First,dice,dice_outcome,Time outcomes,,See how long final review takes,manual,,,,,,,See how long final review takes
REG-DOB-FINAL-REVIEW,Subsequent,cards,draw_L,1,dice_roll_4,Draw 1 if you roll a 4 L cards,auto,,,,,,,
REG-DOB-FINAL-REVIEW,Subsequent,cards,draw_E,1,,Bring in more help,manual,,,,,,,Bring in more help
REG-DOB-FINAL-REVIEW,Subsequent,dice,dice_outcome,Time outcomes,,See how long final review takes,manual,,,,,,,See how long final review takes
FINISH,First,dice,dice_outcome,Time outcomes,,See your final time,manual,,,,,,,See your final time
FINISH,Subsequent,dice,dice_outcome,Time outcomes,,See your final time,manual,,,,,,,See your final time
